transfer_id,sender_account,receiver_account,amount,timestamp,fan_out_degree,fan_in_degree,transit_velocity_sec,amount_layering_ratio,shared_device_cluster,account_dormancy_score,is_fraud,attack_id,variant_id,variant_name,hop_level
TRX-0DC805,ACC-50764,ACC-79122,6.63,2026-08-21T12:37:21.340145,0.0589,0.2086,0.3,0.0485,0,0.1088,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-098494,ACC-77675,ACC-25037,42.22,2026-08-02T02:39:34.434692,0.02,0.1778,0.1809,0.35,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02CD5A,ACC-60138,ACC-54864,10.23,2026-08-11T14:30:25.946266,0.1593,0.35,0.0664,0.0648,0,0.0409,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B0D77,ACC-72680,ACC-79092,41.39,2026-08-06T01:54:54.479666,0.1194,0.1,0.1817,0.2218,0,0.1976,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08FC13,ACC-54413,ACC-80480,5.0,2026-08-25T09:32:55.446865,0.0597,0.0514,0.0514,0.2495,0,0.0846,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-047587,ACC-36423,ACC-44865,35.86,2026-08-01T22:59:25.863961,0.242,0.0725,0.3,0.0343,0,0.1168,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09FE81,ACC-89083,ACC-15569,13.13,2026-08-30T12:09:19.887521,0.1061,0.2197,0.1607,0.0492,0,0.0157,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02E67B,VICTIM-3712,MULE-WRK-5061,1428.87,2026-08-02T18:45:53,0.7889,0.2228,0.6331,0.6944,0,0.1691,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-0A0D0F,ACC-92711,ACC-56486,98.11,2026-08-27T09:07:44.721255,0.02,0.2969,0.2304,0.071,0,0.0581,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02BDE4,ACC-69720,ACC-22087,41.02,2026-08-02T03:05:48.803378,0.2367,0.345,0.3,0.35,0,0.0315,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-029543,ACC-63871,ACC-79678,56.87,2026-08-11T17:28:00.910947,0.2184,0.1763,0.194,0.1706,0,0.1398,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-047200,ACC-56092,ACC-63276,19.11,2026-08-30T14:34:38.578463,0.1333,0.1309,0.1254,0.0213,0,0.01,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C4D83,ACC-35559,ACC-30219,25.32,2026-08-01T13:16:31.343719,0.2406,0.3202,0.0614,0.0715,0,0.1693,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0A84B5,ACC-78244,ACC-31949,111.11,2026-08-08T03:42:14.907423,0.35,0.35,0.2545,0.2605,0,0.092,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DA443,ACC-11542,ACC-45428,17.37,2026-08-03T16:04:21.425310,0.212,0.285,0.3,0.0701,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B3FC7,MULE-WRK-3533,MULE-MSTR-799,8645.5,2026-08-05T18:18:18,0.1173,0.8166,0.6431,0.7855,1,0.2716,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-09785E,ACC-76918,ACC-34058,50.24,2026-08-27T05:36:33.935803,0.3566,0.2078,0.298,0.3628,0,0.2569,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06394F,ACC-96807,ACC-64021,47.98,2026-08-06T11:12:10.409001,0.0737,0.35,0.3,0.2444,0,0.2617,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0751D3,ACC-61214,ACC-20647,102.09,2026-08-19T10:52:43.570630,0.35,0.1115,0.119,0.1226,0,0.1039,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DAF9A,DORMANT-ACC-39771,MULE-MSTR-391,12432.45,2026-08-30T01:01:39,0.3836,0.4405,0.6586,0.6828,1,0.8208,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-08FE10,ACC-91958,ACC-55734,67.71,2026-08-04T14:42:56.303121,0.0891,0.2052,0.0781,0.0443,0,0.0734,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06E3C8,ACC-86971,ACC-54078,95.72,2026-08-07T10:34:36.172625,0.216,0.32,0.1711,0.1245,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DAF83,ACC-57882,ACC-44674,243.58,2026-08-17T19:39:47.122563,0.1213,0.2847,0.3,0.35,0,0.01,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04E2BD,ACC-79836,ACC-70315,82.04,2026-08-02T15:52:57.667457,0.0864,0.1169,0.1061,0.35,0,0.057,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-096AF3,ACC-62188,ACC-72981,190.73,2026-08-08T21:22:52.641750,0.35,0.1191,0.0311,0.0727,0,0.0982,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07CEB0,ACC-69659,ACC-85629,109.9,2026-08-08T00:09:18.681565,0.0425,0.1313,0.0313,0.0264,1,0.178,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B4BFD,ACC-42117,ACC-52652,46.05,2026-08-03T08:51:09.387299,0.2231,0.2225,0.3,0.173,0,0.1387,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06926C,ACC-95530,ACC-95382,728.04,2026-08-05T10:24:15.652335,0.35,0.1744,0.1317,0.3329,0,0.1633,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D50A4,ACC-37345,ACC-69156,35.08,2026-08-19T01:54:33.839005,0.0812,0.0737,0.3,0.0332,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0428FD,ACC-15600,ACC-21694,163.04,2026-08-27T08:19:03.384713,0.1283,0.1158,0.0821,0.0869,0,0.1351,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-065D3E,DORMANT-ACC-42971,MULE-MSTR-322,6837.73,2026-08-13T20:33:52,0.2822,0.3382,0.7645,0.7157,0,0.7102,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-0EC78A,ACC-56732,ACC-86971,60.93,2026-08-05T00:45:00.312275,0.2221,0.1064,0.3,0.35,0,0.1247,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09A1F8,VICTIM-7801,MULE-WRK-3092,758.84,2026-08-24T02:31:18,0.7363,0.204,0.5898,0.8144,0,0.2503,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-05027A,ACC-28384,ACC-62638,67.24,2026-08-14T10:19:00.239881,0.0515,0.2092,0.3,0.35,0,0.196,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D99B8,ACC-20211,ACC-57118,5.0,2026-08-01T19:04:07.223324,0.1708,0.129,0.2278,0.0333,0,0.0878,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F0299,ACC-39118,ACC-55350,65.16,2026-08-12T14:39:08.726783,0.039,0.122,0.0803,0.1756,0,0.2629,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-073F79,ACC-39984,ACC-50461,13.02,2026-08-26T17:37:38.005015,0.1431,0.1426,0.1395,0.1364,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-031D0E,ACC-85532,ACC-58364,77.26,2026-08-01T21:52:07.241272,0.0847,0.0255,0.0958,0.089,0,0.2785,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02E2AF,ACC-56154,ACC-23046,43.81,2026-08-06T01:30:26.072733,0.0218,0.1484,0.1763,0.35,0,0.0309,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-053D44,ACC-37446,ACC-26052,129.32,2026-08-07T19:59:03.531215,0.1299,0.0633,0.0462,0.1049,0,0.1109,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BFC9B,ACC-91554,ACC-70160,68.84,2026-08-10T02:32:25.859761,0.35,0.35,0.3,0.0609,0,0.0916,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-020AEB,ACC-45946,ACC-74386,83.97,2026-08-25T19:44:08.400229,0.1853,0.1279,0.1738,0.1651,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C35AC,ACC-68585,ACC-56403,21.63,2026-08-26T16:11:38.390758,0.1559,0.35,0.3,0.35,0,0.0401,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C6A37,ACC-86329,ACC-23843,91.62,2026-08-14T04:47:53.258040,0.2963,0.1756,0.3,0.1752,0,0.1564,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ADAF5,ACC-54327,ACC-59786,12.69,2026-08-05T03:37:46.829559,0.0561,0.2749,0.2215,0.35,0,0.1076,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05EAAF,MULE-WRK-8036,MULE-MSTR-676,3952.64,2026-08-17T21:16:17,0.2125,0.9347,0.762,0.8231,1,0.1834,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-06D72D,ACC-96779,ACC-53088,12.18,2026-08-21T22:10:50.658879,0.1231,0.2842,0.0433,0.0604,0,0.0553,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05A175,ACC-75725,ACC-99833,30.92,2026-08-05T16:50:23.545170,0.1879,0.147,0.033,0.0929,0,0.1668,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09B848,ACC-81354,ACC-88040,442.5,2026-08-14T11:39:16.296922,0.0463,0.1012,0.1453,0.35,0,0.1745,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-083748,ACC-96516,ACC-12693,46.24,2026-08-06T17:44:09.873652,0.0243,0.1667,0.0219,0.1077,0,0.1433,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E5486,ACC-93285,ACC-96120,98.28,2026-08-15T07:53:51.406851,0.0642,0.0319,0.0615,0.1053,0,0.0393,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01C50F,ACC-48827,ACC-23283,264.38,2026-08-03T11:26:49.235776,0.1754,0.35,0.0931,0.0892,0,0.086,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01900C,ACC-37420,ACC-25151,16.47,2026-08-09T20:19:21.201252,0.1748,0.1647,0.2167,0.0672,0,0.0799,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B77DD,ACC-58895,ACC-13890,58.88,2026-08-23T21:07:52.475307,0.1819,0.1355,0.0359,0.0583,0,0.2277,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02607A,ACC-32662,ACC-81308,65.06,2026-08-07T06:26:41.931371,0.35,0.2258,0.01,0.0715,0,0.18,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C3424,ACC-30093,ACC-12336,467.31,2026-08-05T02:16:15.985016,0.0743,0.1958,0.3,0.2426,0,0.27,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-068EA7,ACC-82258,ACC-46081,48.55,2026-08-12T16:47:57.783044,0.0262,0.2768,0.0302,0.0411,0,0.1464,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0CD0F6,ACC-35351,ACC-29087,25.09,2026-08-19T08:51:26.332691,0.219,0.3391,0.0322,0.2841,0,0.18,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08C8ED,ACC-11016,ACC-23456,27.74,2026-08-14T03:40:46.423892,0.4534,0.3311,0.4286,0.5627,0,0.3933,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02E5F9,ACC-97410,ACC-99563,12.89,2026-08-03T13:52:24.230085,0.2048,0.1213,0.0887,0.1275,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0AE9B8,ACC-36143,ACC-52107,213.09,2026-08-14T16:40:13.585132,0.2708,0.2318,0.0606,0.2425,0,0.0526,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C3063,VICTIM-6407,MULE-MSTR-723,4628.71,2026-08-14T02:04:51,0.4402,0.3182,0.9892,0.9375,0,0.264,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
TRX-047BB2,ACC-62930,ACC-36987,175.31,2026-08-18T07:06:52.701077,0.1188,0.0528,0.3,0.0174,0,0.1325,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08A80D,ACC-11431,ACC-94416,74.19,2026-08-16T00:05:16.064259,0.35,0.173,0.01,0.1923,1,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-035D57,ACC-59841,ACC-85250,18.66,2026-08-08T17:39:44.378833,0.0221,0.1768,0.1253,0.1629,0,0.1299,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03D740,ACC-47219,ACC-14760,7.99,2026-08-03T04:49:25.216920,0.0494,0.2094,0.0916,0.3385,0,0.221,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08FE78,ACC-14213,ACC-70631,88.22,2026-08-12T14:16:02.365075,0.2695,0.069,0.1991,0.1424,0,0.1409,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04CEE7,VICTIM-3822,MULE-WRK-2729,1437.88,2026-08-29T02:40:27,0.9164,0.2467,0.7104,0.6879,0,0.2151,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-0B34DA,ACC-93251,ACC-26715,48.85,2026-08-16T11:31:57.746615,0.1298,0.0254,0.3,0.1648,0,0.0296,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E9DFC,ACC-27073,ACC-59847,85.25,2026-08-20T21:25:34.148328,0.06,0.1392,0.244,0.0612,0,0.1472,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-038965,ACC-11283,ACC-60069,43.62,2026-08-02T22:23:04.304565,0.2522,0.3365,0.0283,0.0681,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0AB960,ACC-98461,ACC-26977,30.53,2026-08-07T15:02:31.850291,0.2209,0.251,0.2824,0.1316,0,0.2062,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BBD3F,ACC-66088,ACC-56737,5.0,2026-08-02T17:06:16.510759,0.1188,0.2458,0.1195,0.35,0,0.1069,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-057D2B,ACC-58231,ACC-76199,27.95,2026-08-10T02:16:25.826967,0.02,0.0237,0.2268,0.1712,0,0.01,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07105B,ACC-12551,ACC-87960,42.57,2026-08-18T18:35:23.961126,0.2561,0.0787,0.148,0.021,0,0.0359,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B5746,VICTIM-8358,MULE-WRK-3041,1409.36,2026-08-15T22:02:52,0.8873,0.1645,0.558,0.6943,0,0.1558,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-0AFE79,ACC-49030,ACC-58364,885.75,2026-08-10T14:26:44.126792,0.1642,0.2808,0.2361,0.1836,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BD083,VICTIM-6046,MULE-WRK-7287,1497.0,2026-08-26T00:41:51,0.7926,0.2064,0.92,0.83,0,0.1102,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-066775,ACC-88587,ACC-96672,44.94,2026-08-30T17:29:38.865834,0.2197,0.1762,0.0945,0.2068,0,0.036,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02B381,ACC-32168,ACC-64691,119.61,2026-08-20T23:32:43.185685,0.306,0.4308,0.1694,0.6,0,0.3954,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02501C,ACC-41552,ACC-21954,11.14,2026-08-06T15:28:33.513779,0.2091,0.1819,0.1595,0.3035,0,0.0242,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02124E,VICTIM-7487,MULE-MSTR-257,9326.09,2026-08-13T02:59:35,0.3868,0.2196,0.6841,0.7295,0,0.4113,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
TRX-0B1B9A,ACC-36201,ACC-23859,196.21,2026-08-29T05:14:54.519997,0.2274,0.0679,0.1086,0.0883,0,0.2248,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06FFF8,ACC-18110,ACC-25577,23.43,2026-08-15T18:40:20.063820,0.116,0.1041,0.0746,0.1449,0,0.0325,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01B1E2,ACC-65106,ACC-60288,108.72,2026-08-27T09:43:44.517170,0.1406,0.2317,0.3,0.2772,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E3ECA,ACC-68161,ACC-67660,36.71,2026-08-07T05:36:39.735260,0.1914,0.0516,0.0453,0.0973,0,0.0415,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0611E5,ACC-67679,ACC-52557,20.31,2026-08-28T12:36:37.958381,0.2454,0.1099,0.2264,0.0974,0,0.1408,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-094CBA,ACC-55648,ACC-61991,74.69,2026-08-07T00:28:29.933288,0.0812,0.02,0.2504,0.35,0,0.0572,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0345F2,ACC-50764,ACC-24289,18.73,2026-08-30T23:31:08.459766,0.35,0.099,0.2384,0.1394,0,0.0362,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F1C11,ACC-65718,ACC-66491,15.06,2026-08-07T07:33:56.391601,0.2932,0.2964,0.2698,0.05,0,0.1825,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E75EB,ACC-78576,ACC-70545,214.25,2026-08-09T15:26:53.201665,0.3105,0.2435,0.3,0.2286,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0EB3E2,ACC-69182,ACC-47051,28.33,2026-08-02T21:58:59.382021,0.35,0.111,0.1792,0.0618,0,0.2556,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0A2C44,ACC-20526,ACC-14835,26.06,2026-08-25T18:13:33.102676,0.1722,0.2769,0.0806,0.35,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0425B0,VICTIM-4047,MULE-MSTR-799,10902.34,2026-08-25T22:42:53,0.3644,0.1158,0.7736,0.8617,1,0.3748,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
TRX-0B0F1E,ACC-70348,ACC-63521,337.29,2026-08-13T07:47:43.722494,0.1834,0.1158,0.0948,0.1133,0,0.0911,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B1595,ACC-71001,ACC-16801,69.59,2026-08-18T09:26:26.960319,0.5349,0.4409,0.2527,0.3029,0,0.2459,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ACD55,ACC-84663,ACC-49749,144.06,2026-08-03T00:03:01.810660,0.1019,0.0387,0.1545,0.2574,0,0.2318,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-084CF8,ACC-42779,ACC-80135,458.54,2026-08-05T08:30:47.779141,0.0868,0.35,0.084,0.2438,0,0.1552,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BA123,ACC-81853,ACC-83800,40.71,2026-08-03T09:57:26.694375,0.1419,0.0507,0.1854,0.2301,0,0.2068,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C31E2,ACC-76435,ACC-56732,101.16,2026-08-02T06:42:32.168445,0.1693,0.2812,0.3,0.0143,0,0.0363,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06556F,ACC-51814,ACC-64400,36.75,2026-08-03T12:03:21.139632,0.2059,0.2427,0.0302,0.0143,0,0.19,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0597A9,ACC-21023,ACC-29956,18.14,2026-08-14T20:10:27.422539,0.124,0.35,0.1143,0.35,0,0.0952,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F3E88,ACC-24472,ACC-48513,11.58,2026-08-16T21:39:43.079873,0.35,0.0536,0.0198,0.0756,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07F8BD,ACC-60517,ACC-66614,509.25,2026-08-16T20:35:11.425556,0.0898,0.1247,0.1325,0.1637,0,0.0799,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03835C,ACC-36589,ACC-79836,23.3,2026-08-28T13:25:15.901607,0.3493,0.0899,0.1083,0.0513,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E8E23,ACC-56197,ACC-37810,90.26,2026-08-11T15:03:56.578485,0.2231,0.2538,0.2194,0.1851,0,0.175,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DF80A,ACC-59145,ACC-33252,37.53,2026-08-01T10:04:18.017666,0.35,0.1767,0.1031,0.252,0,0.2065,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0772BE,ACC-33091,ACC-27908,183.81,2026-08-02T08:37:31.053419,0.0564,0.1784,0.2604,0.3454,0,0.1072,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-081B28,ACC-71001,ACC-18666,603.81,2026-08-04T21:39:33.315462,0.2373,0.1734,0.0355,0.35,0,0.0604,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0CE8FE,ACC-15744,ACC-27069,68.79,2026-08-09T03:09:54.844905,0.65,0.4045,0.3127,0.2673,0,0.1889,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E40AB,ACC-34860,ACC-31312,177.03,2026-08-25T11:45:47.183011,0.2366,0.1695,0.0637,0.05,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0A13F1,ACC-12368,ACC-65860,233.18,2026-08-11T11:27:44.412803,0.1167,0.2966,0.1196,0.2266,0,0.2083,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03D5C1,ACC-33173,ACC-46395,96.0,2026-08-01T20:40:12.369074,0.0875,0.1874,0.169,0.35,0,0.1431,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E64E1,ACC-51991,ACC-17421,43.12,2026-08-29T15:45:37.400909,0.0544,0.35,0.2668,0.0116,0,0.0557,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01B4C1,ACC-86957,ACC-79561,5.8,2026-08-04T16:31:42.855873,0.0911,0.2719,0.145,0.0373,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02F586,ACC-47892,ACC-53525,5.0,2026-08-09T17:55:55.893710,0.09,0.35,0.0194,0.3068,0,0.2179,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03E750,ACC-17227,ACC-68067,37.11,2026-08-03T13:29:42.129824,0.1589,0.0865,0.2664,0.211,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-068540,DORMANT-ACC-21725,MULE-MSTR-181,11991.7,2026-08-26T09:48:15,0.438,0.3905,0.6026,0.7381,0,0.99,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-09C90D,ACC-52965,ACC-11125,8.72,2026-08-10T18:25:04.859678,0.2458,0.0202,0.0857,0.2642,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0EECBC,MULE-WRK-8159,MULE-MSTR-196,2875.21,2026-08-18T14:50:54,0.1977,0.7346,0.5449,0.8334,1,0.1938,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-0C7326,ACC-26531,ACC-11307,139.87,2026-08-03T16:30:02.803254,0.2185,0.0812,0.2829,0.0704,0,0.1076,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E33E5,ACC-16540,ACC-25434,134.77,2026-08-28T19:52:50.828506,0.1578,0.0289,0.0874,0.0001,0,0.2478,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-080A4D,ACC-75160,ACC-18680,101.2,2026-08-30T17:06:46.782825,0.2334,0.2538,0.1471,0.0277,0,0.0131,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-098221,ACC-90818,ACC-15126,50.05,2026-08-03T07:30:27.411321,0.0896,0.35,0.3,0.1393,0,0.167,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03712D,ACC-66526,ACC-75344,270.76,2026-08-08T12:34:41.097988,0.2086,0.0575,0.0295,0.2201,0,0.0822,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0334C5,VICTIM-2764,MULE-MSTR-818,7208.2,2026-08-01T11:04:00,0.2857,0.2667,0.8532,0.99,1,0.4133,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
TRX-07E5ED,ACC-28073,ACC-90199,42.96,2026-08-20T00:55:09.054032,0.0561,0.3216,0.1833,0.0027,0,0.1374,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-067853,ACC-20267,ACC-40386,38.81,2026-08-23T13:45:33.973593,0.1679,0.2248,0.1039,0.0054,0,0.17,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-065333,ACC-82694,ACC-63909,53.08,2026-08-15T20:09:09.862265,0.1368,0.02,0.1882,0.35,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02BFE6,ACC-38220,ACC-46244,170.15,2026-08-07T10:51:34.936005,0.35,0.2406,0.039,0.1522,0,0.1533,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09C7B5,ACC-11177,ACC-40561,400.61,2026-08-31T03:45:21.856069,0.1483,0.2443,0.2136,0.35,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04CA3C,ACC-67799,ACC-89530,262.75,2026-08-07T05:26:10.029080,0.113,0.0653,0.238,0.0275,0,0.0583,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-048BC8,ACC-26184,ACC-28752,69.27,2026-08-28T09:05:50.619341,0.2959,0.0537,0.1095,0.0496,0,0.1244,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E2D3E,ACC-62142,ACC-60026,32.67,2026-08-11T05:38:44.580123,0.1134,0.35,0.3,0.1349,0,0.0329,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03764C,ACC-27633,ACC-34306,11.35,2026-08-02T01:53:19.433213,0.1071,0.0869,0.0878,0.0403,0,0.257,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
